2,182543
4,152629
2,50308
2,214864
2,139902
2,239176
2,102098
5,155534
2,176251
2,80928
2,138884
2,51434
2,163232
2,120120
2,72801
2,220514
2,162180
2,214971
2,204795
2,245061
2,107341
2,208582
4,25092
2,176014
2,146054
2,141861
2,227683
2,194309
2,67448
2,109972
2,202285
2,171250
2,196852
2,80067
2,68435
2,25603
2,106607
2,62270
2,238712
2,142781
2,1451
4,117458
2,178101
2,123725
2,93229
2,43584
2,154491
2,117406
2,33088
4,86714
2,125997
2,140140
2,126342
2,142843
2,54231
2,83783
2,186534
5,44211
2,149962
2,188631
2,146024
4,14579
2,80827
2,122404
2,25704
2,158165
2,101680
2,125800
2,86363
2,111977
2,124615
2,145350
2,169143
2,166921
2,100589
4,231973
2,73084
2,242842
2,208720
2,227613
2,125582
2,27364
2,72606
2,198443
2,144032
2,3535
2,55497
2,71909
2,118847
2,208057
2,20394
2,126119
2,26120
2,19940
4,174830
2,57963
2,101847
2,159165
2,178785
2,85462
4,208957
2,6022
2,71622
2,197695
2,160829
2,116022
2,8401
2,107068
2,150947
2,192198
2,245153
2,64405
2,139841
4,112156
2,133885
2,5593
2,74216
2,113556
2,189546
2,93471
2,220671
2,16042
2,171030
2,123973
2,144883
2,248533
2,96692
2,41995
2,209988
2,197933
2,184884
5,165285
2,23413
2,196916
2,29597
2,51946
2,36674
2,151765
2,164890
2,223066
2,142679
2,242173
2,160461
2,97521
2,50083
2,162370
2,11732
2,241751
2,71729
2,191854
4,193188
2,39450
4,86977
4,168392
2,185227
2,170910
2,112052
2,157599
2,54529
2,8341
2,67480
5,165051
2,134017
2,22086
2,46775
2,232464
2,214129
1,81843922
2,65366
4,126776
2,79923
2,14909
2,92996
2,196309
2,44963
2,174663
2,148952
4,93016
4,70171
2,168569
2,103601
2,17555
4,69454
2,159147
2,189416
2,162476
2,1460
2,161756
2,109601
2,46673
2,180959
2,145983
2,42785
4,153267
2,33549
2,33187
4,170057
2,73233
2,218422
2,160270
2,199040
2,57137
2,203253
2,83221
2,175199
2,123724
2,77684
4,68187
4,60869
2,182071
2,147632
2,193763
2,108475
2,66506
2,52203
2,106787
2,9554
2,243375
2,246720
2,178439
2,216264
2,242873
2,138321
4,183407
2,64650
2,149983
2,171996
2,234519
2,100595
2,23203
2,75084
4,119377
2,138275
2,58755
2,157020
2,219488
2,124907
2,215147
2,205350
2,243091
2,44596
2,230228
2,50874
2,223005
2,49039
2,236717
2,18570
2,205421
2,139511
2,220882
2,64527
2,148101
2,78483
2,202978
2,101845
2,222334
2,204023
2,42354
2,115698
2,34948
2,85098
2,46715
2,130773
2,9631
2,146195
2,74033
2,11802
2,223298
2,143708
2,80548
2,223085
2,87061
2,191785
2,98402
2,26893
4,243738
2,81778
2,92160
2,177743
4,89678
2,30715
2,97249
2,93214
5,206423
1,1868642
2,172350
2,5540
2,213759
2,104469
2,47310
2,197815
2,214060
2,117420
4,232420
2,183176
2,108470
2,198877
2,14335
2,231719
2,3159
4,222221
4,102216
3,151666
4,75399
2,41240
2,67076
2,85746
2,51943
4,174853
2,34681
2,225998
2,177134
2,14132
2,126042
2,176973
3,16990
2,92259
4,44577
2,198938
2,248722
2,85808
2,132328
2,83888
2,131750
2,20393
2,88197
2,62356
4,81203
4,230239
2,183119
2,19698
2,193446
2,10841
2,195585
2,96592
2,33275
2,29029
2,213306
2,17215
2,14123
2,142585
2,57437
2,53391
4,105919
2,79720
2,55676
2,135170
2,195424
2,193296
2,25149
2,180457
2,101581
2,196687
4,37814
2,173050
2,248920
5,146054
4,152984
2,151795
2,155992
2,189328
2,67364
2,34037
2,206917
2,140663
2,121290
2,173034
2,210757
4,5000
2,105769
2,41688
2,184602
2,197542
2,149411
2,95117
2,1787
2,226507
2,57149
4,102465
2,121312
2,52885
2,216863
2,55831
2,162425
2,56334
2,192024
2,55106
2,92940
2,50617
2,3633
2,201988
2,81642
2,95400
2,60220
2,5906
4,100461
2,201467
2,176713
2,19459
2,114400
2,101315
2,143604
2,84535
4,95483
4,122132
2,87951
2,193493
2,200937
2,46249
2,196456
2,132572
2,33992
2,100609
2,128774
2,54283
2,87868
2,209511
2,76357
2,76
2,80832
2,135647
4,220460
2,22826
2,194794
2,69212
2,202599
2,239284
2,223295
2,147578
2,39974
2,215114
2,48831
2,54698
2,61073
2,148132
2,176054
